id,text,label
314,"Policy 314 supports telehealth services, improving access for rural areas.",1
315,"Policy 315 has several gaps, leading to inadequate healthcare access.",0
316,Policy 316 expands mental health services for underserved communities.,1
317,Policy 317 expands mental health services for underserved communities.,1
318,Policy 318 enhances patient safety standards.,1
319,Policy 319 creates barriers to access for marginalized populations.,0
320,"Policy 320 promotes preventative care, aiming to reduce chronic disease rates.",1
321,"Policy 321 has several gaps, leading to inadequate healthcare access.",0
322,Policy 322 improves public health by increasing funding for vaccinations.,1
323,Policy 323 creates barriers to access for marginalized populations.,0
324,"Policy 324 promotes preventative care, aiming to reduce chronic disease rates.",1
325,Policy 325 does not provide enough resources for hospitals.,0
326,"Policy 326 promotes preventative care, aiming to reduce chronic disease rates.",1
327,Policy 327 creates barriers to access for marginalized populations.,0
328,Policy 328 creates barriers to access for marginalized populations.,0
329,"Policy 329 has several gaps, leading to inadequate healthcare access.",0
330,Policy 330 creates barriers to access for marginalized populations.,0
331,Policy 331 has been criticized for not considering diverse community needs.,0
332,"Policy 332 has several gaps, leading to inadequate healthcare access.",0
333,"Policy 333 supports telehealth services, improving access for rural areas.",1
334,Policy 334 creates barriers to access for marginalized populations.,0
335,Policy 335 creates barriers to access for marginalized populations.,0
336,"Policy 336 supports telehealth services, improving access for rural areas.",1
337,Policy 337 creates barriers to access for marginalized populations.,0
338,Policy 338 fails to address the mental health crisis effectively.,0
339,"Policy 339 promotes preventative care, aiming to reduce chronic disease rates.",1
340,Policy 340 fails to address the mental health crisis effectively.,0
341,Policy 341 enhances patient safety standards.,1
342,Policy 342 does not provide enough resources for hospitals.,0
343,Policy 343 does not provide enough resources for hospitals.,0
344,Policy 344 enhances patient safety standards.,1
345,Policy 345 expands mental health services for underserved communities.,1
346,Policy 346 enhances patient safety standards.,1
347,Policy 347 improves public health by increasing funding for vaccinations.,1
348,"Policy 348 has several gaps, leading to inadequate healthcare access.",0
349,Policy 349 enhances patient safety standards.,1
350,Policy 350 creates barriers to access for marginalized populations.,0
351,Policy 351 enhances patient safety standards.,1
352,Policy 352 has been criticized for not considering diverse community needs.,0
353,Policy 353 creates barriers to access for marginalized populations.,0
354,Policy 354 does not provide enough resources for hospitals.,0
355,Policy 355 improves public health by increasing funding for vaccinations.,1
356,Policy 356 does not provide enough resources for hospitals.,0
357,Policy 357 creates barriers to access for marginalized populations.,0
358,Policy 358 improves public health by increasing funding for vaccinations.,1
359,"Policy 359 supports telehealth services, improving access for rural areas.",1
360,"Policy 360 promotes preventative care, aiming to reduce chronic disease rates.",1
361,Policy 361 improves public health by increasing funding for vaccinations.,1
362,Policy 362 improves public health by increasing funding for vaccinations.,1
363,Policy 363 has been criticized for not considering diverse community needs.,0
364,Policy 364 improves public health by increasing funding for vaccinations.,1
365,"Policy 365 promotes preventative care, aiming to reduce chronic disease rates.",1
366,Policy 366 expands mental health services for underserved communities.,1
367,Policy 367 has been criticized for not considering diverse community needs.,0
368,Policy 368 does not provide enough resources for hospitals.,0
369,Policy 369 expands mental health services for underserved communities.,1
370,Policy 370 has been criticized for not considering diverse community needs.,0
371,Policy 371 does not provide enough resources for hospitals.,0
372,"Policy 372 supports telehealth services, improving access for rural areas.",1
373,Policy 373 enhances patient safety standards.,1
374,Policy 374 creates barriers to access for marginalized populations.,0
375,Policy 375 expands mental health services for underserved communities.,1
376,"Policy 376 supports telehealth services, improving access for rural areas.",1
377,Policy 377 expands mental health services for underserved communities.,1
378,Policy 378 improves public health by increasing funding for vaccinations.,1
379,"Policy 379 supports telehealth services, improving access for rural areas.",1
380,Policy 380 expands mental health services for underserved communities.,1
381,Policy 381 improves public health by increasing funding for vaccinations.,1
382,Policy 382 fails to address the mental health crisis effectively.,0
383,Policy 383 does not provide enough resources for hospitals.,0
384,Policy 384 has been criticized for not considering diverse community needs.,0
385,"Policy 385 promotes preventative care, aiming to reduce chronic disease rates.",1
386,Policy 386 enhances patient safety standards.,1
387,Policy 387 fails to address the mental health crisis effectively.,0
388,Policy 388 expands mental health services for underserved communities.,1
389,Policy 389 improves public health by increasing funding for vaccinations.,1
390,Policy 390 fails to address the mental health crisis effectively.,0
391,Policy 391 does not provide enough resources for hospitals.,0
392,Policy 392 enhances patient safety standards.,1
393,Policy 393 expands mental health services for underserved communities.,1
394,Policy 394 does not provide enough resources for hospitals.,0
395,Policy 395 improves public health by increasing funding for vaccinations.,1
396,"Policy 396 supports telehealth services, improving access for rural areas.",1
397,Policy 397 creates barriers to access for marginalized populations.,0
398,Policy 398 creates barriers to access for marginalized populations.,0
399,Policy 399 does not provide enough resources for hospitals.,0
400,"Policy 400 has several gaps, leading to inadequate healthcare access.",0
401,Policy 401 creates barriers to access for marginalized populations.,0
402,Policy 402 creates barriers to access for marginalized populations.,0
403,"Policy 403 has several gaps, leading to inadequate healthcare access.",0
404,"Policy 404 supports telehealth services, improving access for rural areas.",1
405,Policy 405 expands mental health services for underserved communities.,1
406,Policy 406 enhances patient safety standards.,1
407,Policy 407 fails to address the mental health crisis effectively.,0
408,Policy 408 does not provide enough resources for hospitals.,0
409,Policy 409 improves public health by increasing funding for vaccinations.,1
410,Policy 410 fails to address the mental health crisis effectively.,0
411,"Policy 411 promotes preventative care, aiming to reduce chronic disease rates.",1
412,Policy 412 enhances patient safety standards.,1
413,Policy 413 enhances patient safety standards.,1
414,Policy 414 does not provide enough resources for hospitals.,0
415,"Policy 415 supports telehealth services, improving access for rural areas.",1
416,Policy 416 enhances patient safety standards.,1
417,"Policy 417 supports telehealth services, improving access for rural areas.",1
418,Policy 418 expands mental health services for underserved communities.,1
419,"Policy 419 has several gaps, leading to inadequate healthcare access.",0
420,"Policy 420 has several gaps, leading to inadequate healthcare access.",0
421,Policy 421 enhances patient safety standards.,1
422,Policy 422 fails to address the mental health crisis effectively.,0
423,Policy 423 has been criticized for not considering diverse community needs.,0
424,Policy 424 improves public health by increasing funding for vaccinations.,1
425,Policy 425 has been criticized for not considering diverse community needs.,0
426,Policy 426 has been criticized for not considering diverse community needs.,0
427,Policy 427 creates barriers to access for marginalized populations.,0
428,Policy 428 improves public health by increasing funding for vaccinations.,1
429,Policy 429 creates barriers to access for marginalized populations.,0
430,"Policy 430 supports telehealth services, improving access for rural areas.",1
431,Policy 431 fails to address the mental health crisis effectively.,0
432,Policy 432 expands mental health services for underserved communities.,1
433,Policy 433 enhances patient safety standards.,1
434,Policy 434 improves public health by increasing funding for vaccinations.,1
435,Policy 435 does not provide enough resources for hospitals.,0
436,Policy 436 fails to address the mental health crisis effectively.,0
437,Policy 437 improves public health by increasing funding for vaccinations.,1
438,Policy 438 fails to address the mental health crisis effectively.,0
439,Policy 439 enhances patient safety standards.,1
440,Policy 440 enhances patient safety standards.,1
441,"Policy 441 supports telehealth services, improving access for rural areas.",1
442,"Policy 442 has several gaps, leading to inadequate healthcare access.",0
443,"Policy 443 has several gaps, leading to inadequate healthcare access.",0
444,Policy 444 fails to address the mental health crisis effectively.,0
445,Policy 445 creates barriers to access for marginalized populations.,0
446,Policy 446 fails to address the mental health crisis effectively.,0
447,Policy 447 expands mental health services for underserved communities.,1
448,Policy 448 creates barriers to access for marginalized populations.,0
449,Policy 449 does not provide enough resources for hospitals.,0
450,"Policy 450 supports telehealth services, improving access for rural areas.",1
451,"Policy 451 promotes preventative care, aiming to reduce chronic disease rates.",1
452,"Policy 452 has several gaps, leading to inadequate healthcare access.",0
453,Policy 453 enhances patient safety standards.,1
454,Policy 454 fails to address the mental health crisis effectively.,0
455,Policy 455 improves public health by increasing funding for vaccinations.,1
456,Policy 456 has been criticized for not considering diverse community needs.,0
457,Policy 457 expands mental health services for underserved communities.,1
458,Policy 458 expands mental health services for underserved communities.,1
459,"Policy 459 has several gaps, leading to inadequate healthcare access.",0
460,Policy 460 expands mental health services for underserved communities.,1
461,Policy 461 enhances patient safety standards.,1
462,"Policy 462 supports telehealth services, improving access for rural areas.",1
463,Policy 463 does not provide enough resources for hospitals.,0
464,Policy 464 enhances patient safety standards.,1
465,Policy 465 has been criticized for not considering diverse community needs.,0
466,Policy 466 enhances patient safety standards.,1
467,"Policy 467 has several gaps, leading to inadequate healthcare access.",0
468,Policy 468 has been criticized for not considering diverse community needs.,0
469,Policy 469 creates barriers to access for marginalized populations.,0
470,Policy 470 expands mental health services for underserved communities.,1
471,Policy 471 improves public health by increasing funding for vaccinations.,1
472,Policy 472 has been criticized for not considering diverse community needs.,0
473,Policy 473 improves public health by increasing funding for vaccinations.,1
474,Policy 474 does not provide enough resources for hospitals.,0
475,Policy 475 has been criticized for not considering diverse community needs.,0
476,Policy 476 creates barriers to access for marginalized populations.,0
477,Policy 477 does not provide enough resources for hospitals.,0
478,Policy 478 has been criticized for not considering diverse community needs.,0
479,"Policy 479 promotes preventative care, aiming to reduce chronic disease rates.",1
480,Policy 480 creates barriers to access for marginalized populations.,0
481,"Policy 481 has several gaps, leading to inadequate healthcare access.",0
482,Policy 482 does not provide enough resources for hospitals.,0
483,"Policy 483 has several gaps, leading to inadequate healthcare access.",0
484,Policy 484 creates barriers to access for marginalized populations.,0
485,"Policy 485 has several gaps, leading to inadequate healthcare access.",0
486,Policy 486 enhances patient safety standards.,1
487,Policy 487 creates barriers to access for marginalized populations.,0
488,Policy 488 has been criticized for not considering diverse community needs.,0
489,Policy 489 fails to address the mental health crisis effectively.,0
490,Policy 490 expands mental health services for underserved communities.,1
491,Policy 491 enhances patient safety standards.,1
492,Policy 492 improves public health by increasing funding for vaccinations.,1
493,Policy 493 does not provide enough resources for hospitals.,0
494,Policy 494 enhances patient safety standards.,1
495,Policy 495 improves public health by increasing funding for vaccinations.,1
496,"Policy 496 promotes preventative care, aiming to reduce chronic disease rates.",1
497,"Policy 497 promotes preventative care, aiming to reduce chronic disease rates.",1
498,"Policy 498 supports telehealth services, improving access for rural areas.",1
499,"Policy 499 supports telehealth services, improving access for rural areas.",1
500,"Policy 500 supports telehealth services, improving access for rural areas.",1
501,Policy 501 expands mental health services for underserved communities.,1
502,"Policy 502 promotes preventative care, aiming to reduce chronic disease rates.",1
503,Policy 503 fails to address the mental health crisis effectively.,0
504,Policy 504 improves public health by increasing funding for vaccinations.,1
505,Policy 505 creates barriers to access for marginalized populations.,0
506,Policy 506 does not provide enough resources for hospitals.,0
507,Policy 507 improves public health by increasing funding for vaccinations.,1
508,Policy 508 enhances patient safety standards.,1
509,Policy 509 does not provide enough resources for hospitals.,0
510,"Policy 510 promotes preventative care, aiming to reduce chronic disease rates.",1
511,Policy 511 has been criticized for not considering diverse community needs.,0
512,Policy 512 fails to address the mental health crisis effectively.,0
513,Policy 513 has been criticized for not considering diverse community needs.,0
514,Policy 514 creates barriers to access for marginalized populations.,0
515,Policy 515 fails to address the mental health crisis effectively.,0
516,Policy 516 expands mental health services for underserved communities.,1
517,Policy 517 creates barriers to access for marginalized populations.,0
518,Policy 518 expands mental health services for underserved communities.,1
